X,Y,fid,objectid,cam_num,notes,location,proj,xcoord,ycoord,created_us,created_da,last_edite,last_edi_1
-8528727.5363,4762972.64410001,78,78,54, ,S Charles St-E Lombard St,BPD Cameras,-76.61486299,39.28774399, , , , 
-8528628.796,4763465.4113,79,79,55, ,Saint Paul St - E Lexington St,BPD Cameras,-76.613976,39.29116999, , , , 
-8528599.973,4763127.4361,80,80,56, ,Light St-E Redwood St,BPD Cameras,-76.61371707,39.28882022, , , , 
-8528458.6998,4763352.789,81,81,57, ,N Calvert St - E Fayette St,BPD Cameras,-76.612448,39.29038699, , , , 
-8528411.6116,4763143.65720001,82,82,58, ,S Calvert St-E Redwood St,BPD Cameras,-76.61202499,39.28893299, , , , 
-8528423.8568,4762984.2941,83,83,59, ,S Calvert St - E Lombard St,BPD Cameras,-76.612135,39.28782499, , , , 
-8528310.1996,4763476.199,84,84,60, ,60 - Guilford Ave-E Lexington St,BPD Cameras,-76.611114,39.29124499, , , , 
-8528302.8525,4763254.1197,85,85,61, ,South St - E Baltimore St,BPD Cameras,-76.611048,39.289701, , , , 
-8528293.1677,4763090.8715,86,86,62, ,South St-Water St,BPD Cameras,-76.610961,39.28856599, , , , 
-8528225.7081,4763655.9948,87,87,63, ,N Holliday St - E Saratoga St,BPD Cameras,-76.610355,39.292495, , , , 
-8528216.9138,4763368.7546,88,88,64, ,N Holiday St-E Fayette St,BPD Cameras,-76.61027599,39.290498, , , , 
-8528199.1027,4762987.7461,89,89,65, ,Commerce St - E Lombard St,BPD Cameras,-76.610116,39.287849, , , , 
-8528188.6387,4762817.0232,90,90,66, ,Commerce St - E Pratt St,BPD Cameras,-76.61002199,39.28666199, , , , 
-8528158.9672,4763183.5694,91,91,67, ,Custom House Ave,BPD Cameras,-76.60975545,39.28921049, , , , 
-8528068.7476,4763264.3318,92,92,68, ,S Gay St - E Baltimore St,BPD Cameras,-76.608945,39.28977199, , , , 
-8528056.1686,4763099.21360001,93,93,69, ,S Gay St - Water St,BPD Cameras,-76.608832,39.28862399, , , , 
-8527944.5851,4763495.2892,94,94,70, ,E Saratoga St - E Lexington Stb,BPD Cameras,-76.60782962,39.29137772, , , , 
-8527845.9973,4762995.6566,95,95,71, ,Market Pl - E Lombard St,BPD Cameras,-76.60694399,39.28790399, , , , 
-8529816.7976,4763487.70590001,96,96,72, ,Pearl St - W Lexington St,BPD Cameras,-76.62464799,39.291325, , , , 
-8529736.8702,4763840.68440001,97,97,73, ,N Greene St - W Mulberry St,BPD Cameras,-76.62393,39.29377899, , , , 
-8529619.0339,4764376.7036,98,98,74, ,Druid Hill Ave - Saint Mary St,BPD Cameras,-76.62287145,39.29750538, , , , 
-8529862.9754,4764134.5534,99,99,75, ,Pennsylvania Ave -Saint Mary St,BPD Cameras,-76.62506282,39.29582198, , , , 
-8529460.5752,4764342.70040002,100,100,76, ,N Eutaw St & W Monument St,BPD Cameras,-76.62144799,39.29726899, , , , 
-8528788.8735,4763631.8301,101,101,77, ,Saratoga-Charles,BPD Cameras,-76.615414,39.292327, , , , 
-8526418.1022,4763867.87020001,102,102,201, ,E Fayette St - N Broadway,BPD Cameras,-76.594117,39.29396799, , , , 
-8526408.3061,4763675.70060001,103,103,202, ,E Fairmount Ave - N Broadway,BPD Cameras,-76.594029,39.292632, , , , 
-8526398.8439,4763518.91820001,104,104,203, ,E Baltimore St - S Broadway,BPD Cameras,-76.59394399,39.29154199, , , , 
-8526157.6146,4763529.562,105,105,204, ,E Baltimore St - S Ann St,BPD Cameras,-76.591777,39.29161599, , , , 
-8525870.8555,4763548.40460001,106,106,205, ,E Baltimore St - S Washington St,BPD Cameras,-76.58920099,39.291747, , , , 
-8526390.495,4763354.51500002,107,107,206, ,E Lombard St - S Broadway,BPD Cameras,-76.593869,39.29039899, , , , 
-8526150.1562,4763368.89840001,108,108,207, ,E Lombard St - S Ann St,BPD Cameras,-76.59171,39.290499, , , , 
-8526076.3514,4763371.91900001,109,109,208, ,E Lombard St - S Durham St,BPD Cameras,-76.591047,39.29052, , , , 
-8525931.8586,4763376.95310001,110,110,209, ,E Lombard St - S Chapel St,BPD Cameras,-76.58974899,39.29055499, , , , 
-8525860.2803,4763379.5421,111,111,210, ,E Lombard St - S Washington St,BPD Cameras,-76.589106,39.290573, , , , 
-8526383.1479,4763190.25840001,112,112,211, ,E Pratt St - S Broadway,BPD Cameras,-76.593803,39.289257, , , , 
-8526595.5912,4763173.41770001,113,113,212, ,E Pratt St - N Bond St,BPD Cameras,-76.59571141,39.28913991, , , , 
-8526372.1273,4762955.24090001,114,114,213, ,Gough St - S Broadway,BPD Cameras,-76.593704,39.287623, , , , 
-8526230.5289,4762965.74030001,115,115,214, ,Gough St - S Regester St,BPD Cameras,-76.592432,39.28769599, , , , 
-8526364.7802,4762809.4004,116,116,215, ,Bank St - S Broadway,BPD Cameras,-76.593638,39.28660899, , , , 
-8526565.378,4762795.44940001,117,117,216, ,Bank St - S Bond St,BPD Cameras,-76.59544,39.286512, , , , 
-8526355.7632,4762661.11710001,118,118,218, ,Eastern Ave - S Broadway,BPD Cameras,-76.59355699,39.28557799, , , , 
-8526116.3151,4762676.6501,119,119,219, ,Eastern Ave - S Ann St,BPD Cameras,-76.591406,39.285686, , , , 
-8526356.7254,4762521.0157,120,120,220, ,Fleet St - S Broadway,BPD Cameras,-76.59356564,39.28460387, , , , 
